of the Unleavened Bread,ܕܦܛܝܪ̈ܐ
of the Hosannas,ܕܘܫܥ̈ܢܐ
of the Mystery,ܕܪܙܐ
of the Gospel,ܕܣܒܪܬܐ
"of the Fifth (Day) of the Week, of the Mystery",ܕܚܡܫܐ ܒܫܒܐ ܕܪܙܐ
"of the Eve of Preparation, of Passion",ܕܥܪܘܒܬܐ ܕܚܫܐ
of the Manifestation,ܕܕܢܚܐ
of the Birth,ܕܒܝܬ ܝܠܕܐ
of the Manifestation; and of the Baptism; and of the Consecration of the Myron,ܕܒܝܬ ܕܢܚܐ ܘܕܡܥܡܘܕܝܬܐ ܘܕܩܘܕܫܐ ܕܡܪܘܢ
of the Hosannas,ܕܐܘܫ̈ܥܢܐ
of the Departed,ܕܥܢܝ̈ܕܐ
"of the Fifth (Day) of the Week, of the Week of the Rest",ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
of Mar John the Baptist,ܕܡܪܝ ܝܘܚܢܢ ܡܥܡܕܢܐ
"of the Sabbath, of the Week of the Rest",ܕܫܒܬܐ ܕܫܒܬܐ ܕܢܝܚܬܐ
for the Commemoration of the Martyrs,ܒܕܘܟܪܢܐ ܕܣܗ̈ܕܐ
"of the First (Day) of the Week, of Pentecost",ܕܚܕܒܫܒܐ ܕܦܢܛܩܘܣܛܐ
of the Ascension,ܕܣܘܠܩܐ
of the Crucifixion,ܕܙܩܝܦܘܬܐ
"of the Sabbath, of the Great Week, in the Evening",ܕܫܒܬܐ ܕܫܒܬܐ ܪܒܬܐ ܒܪܡܫܐ
"of the First (Day) of the Week, of the Mystery, in the Evening",ܕ[ܚܕ]ܒܫܒܐ ܕܐܪܙܐ ܒܪܡܫܐ
"of the First (Day) of the Week, of the Resurrection",ܕܚܕܒܫܒܐ ܕܩܝܡܬܐ
of the Hosannas,ܕܐܘ̈ܫܥܢܐ
of the Beginning of the Fast,ܕܡܥ̈ܠܝ ܨܘܡܐ
of the Dawn of the Great First (Day) of the Week,ܕܡܓܗ̈ܝ ܚܕܒܫܒܐ ܪܒܐ
of the Apostles,ܕܫܠܝ̈ܚܐ
"of the Fourth (Day) of the Week, of the Great Week",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܪܒܬܐ
of the New First (Day) of the Week,ܕܚܕܒܫܒܐ ܚܕܬܐ
of the Manifestation,ܕܒܝܬ ܕܢܚܐ
of Mystery,ܕܪܙܐ
of the Eve of Preparation (…),ܕܥܪܘܒܬܐ ◽◽◽◽
of a Subdeacon(?),؟ ܕܗܡܕܝܩܐ
"of the Manifestation, of the Night of the Blessing of the Water",ܕܕܢܚܐ ܕܠܠܝܐ ܕܒܘܪܟ ܡܝ̈ܐ
of the Great Sabbath,ܕܫܒܬܐ ܪܒܬܐ
"of the First (Day) of the Week, the Third, of the Fast",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܨܘܡܐ
"of the Third (Day) of the Week, of Passion; and of Martyrs",ܕܬܠܬ[ܐ ܒܫܒ]ܐ ܕܚܫܐ ܘܕܣ̈ܗܕܐ
"of the Fourth (Day) of the Week, of the First Week of the Fast",ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ
"of the Second (Day) of the Week, of the Passion, in the Morning",ܕܬܪܝܢ ܒܫܒܐ ܕܚܫܐ ܒܨ[ܘ]ܦܪܐ
"of First (Day) of the Week, the 6th, of the Fast",ܕܚܕܒܫܒܐ :̄ܘ̄: ܕܨܘܡܐ
of the Birth of our Lord,ܕܒܝܬ ܝܠܕܗ ܕܡܪܢ
for the Commemoration of the God-Bearer,ܒܕܘܟܪܢܐ ܕܝܠܕܬ ܐܠܗܐ
of the Birth of God(?),ܕܒܝܬ [ܝܠܕܐ] ܐܠܗܐ
"the First (Day) of the Week, the 7th after the Manifestation",ܕܚܕܒܫܒܐ :̄ܙ̄: ܕܒܬܪ ܕܢܚܐ
of the Day of the Manifestation of our Lord,ܕܝܘܡ ܕܢܚܗ ܕܡܪܢ
"of the Day of the Manifestation of our Lord, in Day-Time",ܕܝܘܡ ܕܢܚܗ ܕܡܪܢ ܒܐܝܡܡܐ
of the Renewal of the Cross; and of the Blessing of the Water in the Night of the Manifestation,ܕܐܝܢܩܢܝܐ ܕܨܠܝܒܐ ܘܕܒܘܪܟܐ ܕܡܝ̈ܐ ܒܠܠܝܐ ܕܒܝܬ ܕܢܚܐ
of the Rogations,ܕܒܥܘ̈ܬܐ
"of the First (Day) of the Week, after the Birth",ܕܚܕܒܫܒܐ ܕܒܬܪ ܝܠܕܐ
"of the First (Day) of the Week, before the Birth",ܕܚܕܒܫܒܐ ܕܩܕܡ ܝܠܕܐ
"of the Rogations, of the Scarcity of Rain",ܕܒܥܘ̈ܬܐ ܕܒܨܝܪܘܬ ܡܛܪܐ
"of the Fifth (Day) of the Week, of Mystery, in the Morning",ܕܚܡܫܐ ܒܫܒܐ ܕܪܐܙܐ ܒܨܦܪܐ
of the Day of the Rogations,ܕܝܘܡ ܒܥ̈ܘܬܐ
for the Commemoration of the Departed,ܒܕܘܟܪܢܐ ܕܥܢܝ̈ܕܐ
"of the First (Day) of the Week, the 2nd, after the Manifestation",ܕܚܕܒܫܒܐ :̄ܒ̄: ܕܒܬܪ ܕܢܚܐ
"of the Eve of Preparation, of the Rest; and of the Rogation",ܕܥܪܘܒܬܐ ܕܢܝܚܬܐ ܘܕܒܥܘܬܐ
"of the Eve of Preparation, of the Passion, in the Night",[ܕܥܪܘ]ܒܬܐ [ܕܚ]ܫܐ ܒܠܠܝܐ
"of the Second (Day) of the Week, of the Passion",ܕܬܪܝܢ ܒܫܒܐ ܕܚܫܐ
"the First (Day) of the Week, the 8th, after the Manifestation",ܕܚܕܒܫܒܐ :̄ܚ̄: ܕܒܬܪ ܕܢܚܐ
for the Day of the Rogation,ܒܝܘܡ ܒܥܘܬܐ
for the Rogations,ܒܥܘ̈ܬܐ
of the Rogation because of an Earthqauke,ܕܒܥܘܬܐ ܕܡܛܠ ܙܘܥܐ
"of the First (Day) of the Week, the 2nd, of the Fast",ܕܚܕܒܫܒܐ :̄ܒ̄: ܕܨܘܡܐ
of the Ascension of our Lord,ܕܣܘܠܩܗ ܕܡܪܢ
of the Tonsure,ܕܣܘܦܪܐ
"of the Fifth (Day) of the Week, of the Rest",ܕܚ̈ܡܫܐ ܒܫܒܐ ܕܢܝܚܬܐ
for the Commemoration of the Bishops,ܒܕܘܟܪܢܐ ܕܐܦܣ̈ܩܦܐ
for the Commemoration of the Prophets,ܒܕܘܟܪܢܐ ܕܢܒܝ̈ܐ
"of the Departed, on a Funeral",ܕܥܢܝ̈ܕܐ ܒܠܘܘܝܐ
"of the Second (Day) of the Week, of the Rest",ܕܬܪܝܢ ܒܫܒܐ ܕܢܝܚܬܐ
for the Day of the Rogation,ܒܝܘܡ ܒܥܘ̈ܬܐ
"of the Manifestation, in the Night, on the Blessing of the Water",ܕܒܝܬ ܕܢܚܐ ܒܠܠܝܐ ܥܠ ܒܘܪܟ ܡܝ̈ܐ
"of the First (Day) of the Week, the First, after the Manifestation",ܕܚܕܒܫܒܐ ܩܕܡܝܐ ܕܒܬܪ ܕܢܚܐ
"of the Eve of Preparation, of the Apostles",ܕܥܪܘܒܬܐ ܕܫܠܝ̈ܚܐ
"of the First (Day) of the Week, the 5th, of the Fast",ܕܚܕܒܫܒܐ :̄ܗ̄: ܕܨܘܡܐ
"of the First (Day) of the Week, of the Completion of Pentecost",ܕܚܕܒܫܒܐ ܕܫܘܠܡܐ ܕܦܢܛܩܘܣܛܐ
"of First (Day) of the Week, the 4th, after the Manifestation",ܕܚܕܒܫܒܐ :̄ܕ̄: ܕܒܬܪ ܕܢܚܐ
"of the First (Day) of the Week, the 5th after the Manifestation; and the First (Day) of the Week, the 2nd of the Birth",ܕܚܕܒܫܒܐ :̄ܗ̄: ܕܒܬܪ ܕܢܚܐ ܘܕܚܕܒܫܒܐ :̄ܒ̄: ܕܒܬܪ ܝܠܕܐ
"of the Fifth (Day) of the Week, of the Mystery",ܕܚܡܫܐ ܒܫܒܐ ܕܐܪܙܐ
